open,high,low,close,volume,rsi,pct_change
318.5,322.65,285.82,293.5,15597.16557,47.09700586547491,-7.66665618019945
293.52,318.0,291.91,310.02,10850.16279,53.45353279740506,5.628620102214654
310.87,316.99,281.01,305.24,21123.15319,51.52442999475454,-1.5418360105799556
304.0,318.88,303.7,312.99,15551.67434,54.39799723805076,2.5389857161577822
313.0,337.54,312.94,335.61,17709.2227,61.56031856607293,7.227067957442723
335.6,339.0,324.0,331.33,15597.16131,59.65123399107477,-1.2752897708649957
330.98,334.75,321.41,331.49,14145.71696,59.701546223725636,0.048290224247726776
331.49,334.6,323.84,331.23,18042.02544,59.571553122598985,-0.0784337385743128
331.2,349.9,326.01,346.66,14361.4973,64.51027551097276,4.658394469100013
346.66,373.56,343.07,354.15,19397.74898,66.64060278088866,2.160618473432163
